Country_code,Covid_Vaccine_Adm_Tot_A1D,Covid_Vaccine_Adm_Tot_Boost,Covid_Vaccine_Adm_Tot_Cps,Covid_Vaccine_Adm_Tot_Doses,Covid_Vaccine_Adm_Tot_Doses_Per100,Covid_Vaccine_Cov_Tot_A1D,Covid_Vaccine_Cov_Tot_Boost,Covid_Vaccine_Cov_Tot_Cps,Covid_Vaccine_Date_Intro_First,Covid_Vaccine_Date_Report_Tot_Last,Date_reported
ABW,4606.0,,,4606.0,4.0,4.0,,,2021-02-17,2023-12-29,2021-02-28
ABW,16768.0,,10086.0,26854.0,25.0,16.0,,9.0,2021-02-17,2023-12-29,2021-03-28
ABW,53837.0,,20910.0,74747.0,70.0,50.0,,20.0,2021-02-17,2023-12-29,2021-04-25
ABW,62980.0,,50725.0,113706.0,107.0,59.0,,48.0,2021-02-17,2023-12-29,2021-05-30
ABW,67601.0,,58865.0,126466.0,118.0,63.0,,55.0,2021-02-17,2023-12-29,2021-06-27
ABW,72648.0,,64566.0,137214.0,129.0,68.0,,60.0,2021-02-17,2023-12-29,2021-07-25
ABW,78618.0,,69476.0,148093.0,139.0,74.0,,65.0,2021-02-17,2023-12-29,2021-08-29
ABW,81277.0,,74682.0,155959.0,146.0,76.0,,70.0,2021-02-17,2023-12-29,2021-09-26
ABW,82633.0,,76766.0,159399.0,149.0,77.0,,72.0,2021-02-17,2023-12-29,2021-10-31
ABW,83629.0,,78001.0,161630.0,151.0,78.0,,73.0,2021-02-17,2023-12-29,2021-11-28
ABW,84624.0,,78912.0,163536.0,153.0,79.0,,74.0,2021-02-17,2023-12-29,2021-12-26
ABW,86566.0,,79774.0,166340.0,156.0,81.0,,75.0,2021-02-17,2023-12-29,2022-01-30
ABW,87399.0,,80460.0,167859.0,157.0,82.0,,75.0,2021-02-17,2023-12-29,2022-02-27
ABW,87903.0,,81374.0,169276.0,159.0,82.0,,76.0,2021-02-17,2023-12-29,2022-03-27
ABW,88382.0,,81935.0,170317.0,160.0,83.0,,77.0,2021-02-17,2023-12-29,2022-04-24
ABW,88818.0,,82348.0,171166.0,160.0,83.0,,77.0,2021-02-17,2023-12-29,2022-05-29
ABW,89173.0,,82828.0,172002.0,161.0,84.0,,78.0,2021-02-17,2023-12-29,2022-06-26
ABW,89478.0,,83214.0,172692.0,162.0,84.0,,78.0,2021-02-17,2023-12-29,2022-07-31
ABW,89675.0,,83436.0,173110.0,162.0,84.0,,78.0,2021-02-17,2023-12-29,2022-08-28
ABW,89815.0,,83609.0,173424.0,162.0,84.0,,78.0,2021-02-17,2023-12-29,2022-09-25
ABW,89971.0,,83777.0,173747.0,163.0,84.0,,78.0,2021-02-17,2023-12-29,2022-10-30
ABW,90079.0,,83904.0,173983.0,163.0,84.0,,79.0,2021-02-17,2023-12-29,2022-11-27
ABW,90149.0,,83989.0,174138.0,163.0,84.0,,79.0,2021-02-17,2023-12-29,2022-12-25
ABW,90226.0,,84064.0,174290.0,163.0,85.0,,79.0,2021-02-17,2023-12-29,2023-01-29
ABW,90282.0,35659.0,84120.0,216630.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-02-26
ABW,90357.0,35659.0,84196.0,216781.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-03-26
ABW,90420.0,35659.0,84247.0,216894.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-04-30
ABW,90448.0,35659.0,84294.0,216969.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-05-28
ABW,90456.0,35659.0,84317.0,217001.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-06-25
ABW,90467.0,35659.0,84330.0,217024.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-07-30
ABW,90473.0,35659.0,84337.0,217039.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-08-27
ABW,90477.0,35659.0,84341.0,217045.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-09-24
ABW,90485.0,35659.0,84344.0,217057.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-10-29
ABW,90493.0,35659.0,84358.0,217102.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-11-26
ABW,90493.0,35659.0,84363.0,217124.0,203.0,85.0,33.0,79.0,2021-02-17,2023-12-29,2023-12-31
AFG,12262.0,,,12262.0,,,,,2021-02-22,2023-12-31,2021-02-28
AFG,55294.0,,,55294.0,,,,,2021-02-22,2023-12-31,2021-03-28
AFG,314585.0,,34500.0,349085.0,1.0,1.0,,,2021-02-22,2023-12-31,2021-04-25
AFG,480714.0,,128151.0,608865.0,2.0,1.0,,,2021-02-22,2023-12-31,2021-05-30
AFG,699200.0,,187654.0,886854.0,2.0,2.0,,,2021-02-22,2023-12-31,2021-06-27
AFG,1013928.0,,658341.0,1421972.0,4.0,3.0,,2.0,2021-02-22,2023-12-31,2021-07-25
AFG,1569652.0,,1206650.0,1979652.0,5.0,4.0,,3.0,2021-02-22,2023-12-31,2021-08-29
AFG,1959625.0,,1577760.0,2369625.0,6.0,5.0,,4.0,2021-02-22,2023-12-31,2021-09-26
AFG,2919190.0,,2577222.0,3398410.0,9.0,7.0,,7.0,2021-02-22,2023-12-31,2021-10-31
AFG,3903647.0,,3572048.0,4403343.0,11.0,10.0,,9.0,2021-02-22,2023-12-31,2021-11-28
AFG,4240816.0,,3773096.0,4778036.0,12.0,11.0,,10.0,2021-02-22,2023-12-31,2021-12-26
AFG,4554648.0,,3892831.0,5125146.0,13.0,12.0,,10.0,2021-02-22,2023-12-31,2022-01-30
AFG,4907147.0,,4232640.0,5535999.0,14.0,13.0,,11.0,2021-02-22,2023-12-31,2022-02-27
AFG,5173091.0,,4517202.0,5855583.0,15.0,13.0,,12.0,2021-02-22,2023-12-31,2022-03-27
AFG,5299506.0,,4649565.0,6000182.0,15.0,14.0,,12.0,2021-02-22,2023-12-31,2022-04-24
AFG,5455336.0,,4806339.0,6170059.0,16.0,14.0,,12.0,2021-02-22,2023-12-31,2022-05-29
AFG,5713284.0,,5064430.0,6445359.0,17.0,15.0,,13.0,2021-02-22,2023-12-31,2022-06-26
AFG,8036859.0,,7281848.0,8786943.0,23.0,21.0,,19.0,2021-02-22,2023-12-31,2022-07-31
AFG,10730669.0,,9939590.0,11562525.0,30.0,28.0,,26.0,2021-02-22,2023-12-31,2022-08-28
AFG,10949460.0,,10258598.0,11902389.0,31.0,28.0,,26.0,2021-02-22,2023-12-31,2022-09-25
AFG,11128623.0,,10425250.0,12101673.0,31.0,29.0,,27.0,2021-02-22,2023-12-31,2022-10-30
AFG,11303351.0,,10597783.0,12286782.0,32.0,29.0,,27.0,2021-02-22,2023-12-31,2022-11-27
AFG,11502479.0,,10796858.0,12494754.0,32.0,30.0,,28.0,2021-02-22,2023-12-31,2022-12-25
AFG,11708261.0,,10988243.0,12709857.0,33.0,30.0,,28.0,2021-02-22,2023-12-31,2023-01-29
AFG,13441995.0,639602.0,12723156.0,15093798.0,39.0,35.0,2.0,33.0,2021-02-22,2023-12-31,2023-02-26
AFG,14498963.0,1025067.0,13786355.0,16551612.0,43.0,37.0,3.0,35.0,2021-02-22,2023-12-31,2023-03-26
AFG,14778598.0,1088148.0,14064253.0,16902291.0,43.0,38.0,3.0,36.0,2021-02-22,2023-12-31,2023-04-30
AFG,16099123.0,1607257.0,15392745.0,18754242.0,48.0,41.0,4.0,40.0,2021-02-22,2023-12-31,2023-05-28
AFG,17307761.0,2067182.0,16578402.0,20423483.0,52.0,44.0,5.0,43.0,2021-02-22,2023-12-31,2023-06-25
AFG,17557056.0,2145036.0,16810376.0,20760028.0,53.0,45.0,6.0,43.0,2021-02-22,2023-12-31,2023-07-30
AFG,17901120.0,2258443.0,17128415.0,21230712.0,55.0,46.0,6.0,44.0,2021-02-22,2023-12-31,2023-08-27
AFG,18269553.0,2384225.0,17491603.0,21731857.0,56.0,47.0,6.0,45.0,2021-02-22,2023-12-31,2023-09-24
AFG,18533184.0,2479032.0,17751940.0,22094985.0,57.0,48.0,6.0,46.0,2021-02-22,2023-12-31,2023-10-29
AFG,18926070.0,2638472.0,18144950.0,22647825.0,58.0,49.0,7.0,47.0,2021-02-22,2023-12-31,2023-11-26
AFG,19151369.0,2729940.0,18370386.0,22964750.0,59.0,49.0,7.0,47.0,2021-02-22,2023-12-31,2023-12-31
AGO,,,,138550.0,,,,,2021-03-10,2023-12-31,2021-03-28
AGO,471525.0,,,471525.0,1.0,1.0,,,2021-03-10,2023-12-31,2021-04-25
AGO,679034.0,,230181.0,909215.0,3.0,2.0,,1.0,2021-03-10,2023-12-31,2021-05-30
AGO,945721.0,,549762.0,1495483.0,5.0,3.0,,2.0,2021-03-10,2023-12-31,2021-06-27
